"image_filename","scene_description","colors","category","materials","design_elements"
"black and white gingham checkered A-line dress with a flared skirt.jpg","Una modella posa con un abito corto a maniche tre quarti, a balze, in tessuto a scacchi in bianco e nero. Lo sfondo è uniforme e grigio, mettendo in evidenza l'abito.","bianco, nero","abito femminile","tessuto sintetico","motivo a scacchi, balze sul fondo, scollatura rotonda, maniche a tre quarti"
"black double-breasted blazer with gold buttons, paired with a mid-length skirt.jpg","Una donna cammina su un marciapiede cittadino indossando un elegante abito nero. Porta una giacca sartoriale nera con bottoni dorati e una gonna midi nera. Completano il look un paio di sandali neri con tacchi sottili e una piccola pochette nera.","Nero, Oro","Abbigliamento femminile","Lana, Seta, Pelle","Bottoni dorati, Taglio sartoriale, Gonna midi, Sandali con tacchi a spillo, Pochette"
"black dress with lace detailing.jpg","Un modello di moda femminile indossa un elegante abito nero. L'abito presenta un design anteriore con scollatura a V profonda e una schiena aperta. Decorato con pizzo floreale nero su base trasparente, mostra entrambi i lati anteriore e posteriore dell'abito.","Nero","Abito da sera","Pizzo, Tessuto sintetico","Scollatura a V profonda, Maniche lunghe in pizzo, Schiena aperta, Cintura in tessuto legata dietro"
"black dress with sparkling details.jpg","Una donna in un ambiente interno seduta su una sedia di legno in un ristorante o caffè. Indossa un abito corto nero con maniche a rete e dettagli luccicanti.","Nero","Abito","Tessuto sintetico, Rete","Maniche lunghe a rete, Colletto a V, Abito corto, Dettagli luccicanti"
"black floral saree.jpg","Una donna in piedi su uno sfondo neutro indossa un elegante abito da sera composto da un top scollato e ricamato in nero e una gonna lunga nera con un drappo decorativo che presenta un motivo floreale su sfondo nero. L'abito include un elemento di design distintivo con una spalla asimmetrica.","Nero, Oro, Beige","Abito da sera","Seta, Paillettes","Ricamo floreale, Top con paillettes, Gonna con drappeggio asimmetrico, Cintura decorativa"
"black jumpsuit with a diagonal stripe of glittering material running across the body.jpg","Una donna è vestita con un elegante abito tradizionale, camminando in una residenza che ricorda l'architettura classica medio-orientale o sud-asiatica.","teal, oro, beige","Abbigliamento tradizionale","seta, paillettes","top con maniche lunghe e scollo a V, gonna lunga con spacco frontale, ricami intricati, combinazione di colori vivaci"
"black lace bustier top paired with high-waisted black trousers.jpg","Una donna indossa un elegante jumpsuit nero che presenta un top bustier in pizzo con ricami floreali e una parte inferiore a pantalone liscia.","Nero","Jumpsuit","Pizzo, Tessuto sintetico","Top bustier in pizzo, Ricami floreali, Pantaloni a gamba dritta"
"black off-shoulder dress with belt.jpg","Una donna elegante in un abito nero sta posando in un ambiente pittoresco con vista su edifici bianchi e cupole blu tipici delle isole greche.","nero, bianco, blu","abito da sera","tessuto sintetico, pizzo","scollatura a cuore, maniche a sbuffo in pizzo, cintura con fibbia in metallo"
"black top with spaghetti straps and a black skirt adorned with a fringe detail at the hem.jpg","Una modella con una posa ferma e una espressione seria, indossando un miniabito nero con dettagli di frange color argento. L'illuminazione mette in evidenza il vestito e i dettagli scintillanti, con uno sfondo neutro e ombreggiato.","nero, argento","Abito da sera","seta, paillettes","frange lunghe, scollatura a cuore, spalline sottili, fit aderente"
"black top, white trousers.jpg","Una donna cammina in una strada urbana con una postura rilassata. Indossa un outfit elegante e casual che comprende una maglietta nera, pantaloni bianchi larghi, e porta una borsa grande di colore marrone.","nero, bianco, marrone","Abbigliamento femminile","cotone, tessuto non specificato","maglietta a maniche corte, pantaloni larghi, cintura nera sottile, borsa oversize"
"black, sequined dress with thin shoulder straps.jpg","Una donna indossa un elegante abito corto ornato di paillettes nere. Lo sfondo è omogeneo e sfumato, concentrando l'attenzione sul vestito.","nero","Abito da cocktail","paillettes, tessuto sintetico","paillettes luccicanti, scollatura senza maniche, sottile cinturino spaghettino"
"blue dress with a floral pattern.jpg","Una donna è seduta su una sedia in un ambiente interno luminoso, indossando un abito a maniche lunghe, con stampa floreale in tonalità di blu e bianco. L'abito è di lunghezza media e presenta un taglio leggermente svasato.","blu, bianco","Abito","probabilmente cotone o una miscela di cotone","stampa floreale, maniche lunghe, scollo squadrato, vita elasticizzata"
"bright red kurta with an intricate patterned design.jpg","Una donna in posa con un abito tradizionale modernizzato. Indossa un kurti rosso con motivi stampati in stile etnico, accoppiato con pantaloni di colore beige. Lo sfondo è neutro.","rosso, beige","abbigliamento tradizionale","cotone, sintetico","motivi stampati etnici, taglio a tunica, scollatura a V"
"bright red, sequined dress with thin shoulder straps.jpg","Una modella indossa un abito svolazzante color rosso con spalline sottili.","Rosso","Abito da donna","Sconosciuto","Spalline sottili, Finish svolazzante, Applicazioni decorative"
"burgundy off-the-shoulder dress with an asymmetrical hemline.jpg","Una donna in posa con un abito lungo asimmetrico di colore bordeaux. L'abito ha una scollatura a barca e una gonna che è più corta davanti e più lunga dietro, con un'alta spacco sulla gamba destra. La donna indossa anche sandali neri con tacchi alti.","Bordeaux, Nero","Abito da sera","Tessuto non specificato","Scollatura a barca, Gonna asimmetrica, Alto spacco, Senza maniche"
"burnt orange long-sleeve top, a plaid skirt with brown tones, and a matching burnt orange beret.jpeg","Una donna giovane con capelli lunghi rossi porta un outfit urbano su una strada della città. Lei tiene una macchina fotografica e indossa occhiali da sole, una maglia a collo alto arancione, una gonna a quadri marroni e un berretto arancione.","arancione, marrone, bianco","abbigliamento casual urbano","cotone, poliestere","berretto da baseball, collo alto, gonna a quadri, occhiali da sole oversize"
"chic and elegant outfit consisting of a pair of high-waisted wide-leg trousers paired with a long-sleeve sheer lace top.jpg","Una donna con un look elegante posa in un ambiente interno con pareti di mattoni scuri. Indossa un top trasparente decorato con ricami bianchi e una gonna bianca a vita alta.","bianco, beige","abbigliamento femminile","pizzo, tessuto sintetico","ricamo floreale sul top, maniche lunghe, gonna a vita alta"
"classic black slip dress with a midi length.jpg","Una donna in piedi all'aperto inclinata contro un muro testurizzato. Indossa un elegante abito nero, aderente, con spalline sottili e un'affascinante collana d'argento. Il contesto urbano suggerisce uno scenario di città con finestre e piante sfumate nello sfondo.","Nero, Argento, Grigio chiaro","Abito da cocktail","Seta o simile tessuto sintetico, Metallo","Spalline sottili, Scollatura quadrata, Collana d'argento di grande dimensione, Abito lungo fino al ginocchio"
"colorful saree.jpg","Una donna in abito tradizionale indiano, specificatamente un sari, posa in uno studio con sfondo e arredi in tinta unita. L'ambiente è elegante e raffinato, complementare allo stile dell'abito.","rosso, verde, oro, arancione, grigio","Abbigliamento tradizionale indiano","seta, oro (filato), pietre preziose","ricami floreali, bordi dorati, mix di colori vivaci, drappeggio elaborato"
"cream-colored, long, open-front coat with wide lapels.jpg","Una donna cammina lungo una strada con muro in pietra in background. Indossa un outfit elegante invernale composto da cappotto lungo e dolcevita, e tiene una borsa verde brillante.","Beige, Bianco, Verde","Abbigliamento e accessori femminili","Lana, Pelle","Cappotto lungo con design minimalista, Borsa imbottita di colore verde vivo, Dolcevita"
"dark blue, knee-length dress with thin straps.jpg","Donna con un vestito elegante da cocktail di colore blu oceano. Il vestito presenta spalline sottili e dettagli luccicanti simili a piccole stelle o punti luce. La modella posa su uno sfondo neutro che mette in risalto il vestito.","blu oceano, argento","Abito da cocktail","velluto, elementi decorativi luccicanti","spalline sottili, taglio aderente, dettagli luccicanti, drappeggiato"
"dark, elegant, sleeveless dress that reaches down to about mid-calf.jpg","Una donna indossa un elegante abito da sera. Lo sfondo è neutro e mette in evidenza l'abito.","blu navy","abito da sera","seta o un tessuto simile alla seta","scollo a cuore, cuciture asimmetriche sul corpetto, gonna avvolgente con spacco laterale"
"deep burgundy, silky dress with long sleeves and a wrap-style front.jpg","Una donna siede accanto a una grande palla a specchio in un ambiente con sfondo decorato con frange argento brillante. Indossa un abito elegante color prugna e sandali con tacco alto argentati.","prugna, argento, grigio","Abbigliamento formale","seta, metallo","abito con maniche a sbuffo, taglio asimmetrico sull'orlo, scollatura a V, sandali con cinturino alla caviglia e tacco largo"
"dress with a classic black and white houndstooth pattern.jpg","Donna in piedi a mezzo busto con abito a maniche lunghe caratterizzato da un motivo a pied-de-poule bianco e nero. Lo sfondo è neutro, il che mette in risalto l'abito.","Bianco, Nero","Abito","Tessuto sintetico, Cotone","Motivo a pied-de-poule, Maniche lunghe, Girocollo"
"fitted dress with a classic black and white houndstooth pattern.webp","Una donna in uno sfondo interno minimalista posa con un abito moderno. L'ambiente è elegante e luminoso, caratterizzato da pareti con pannelli lineari di legno chiaro.","Bianco, Nero, Beige","Abito da donna","Tessuto a maglia, Cotone","Motivo a spina di pesce, Maniche a sbuffo, Girocollo, Lunghezza mini"
"fitted, cream-colored dress with long sheer sleeves.jpg","Modella indossa un abito da donna color crema. L'abito è a manica lunga con una texture radunata e un design del busto che presenta una scollatura quadrata con un fiocco centrale.","Crema","Abito da donna","Probabilmente tessuto elastico","Maniche lunghe, Texture radunata, Scollatura quadrata, Fiocco centrale"
"fitted, off-the-shoulder white dress with horizontal ribbed texture.jpg","Una donna indossa un elegante abito bianco aderente con taglio off-the-shoulder. Lo sfondo mostra un ambiente esterno arredato con piante verdi e mobili in tessuto chiaro.","Bianco, Verde, Beige","Abito da donna","Tessuto elasticizzato","Taglio off-the-shoulder, Abito aderente, Pieghe orizzontali"
"fitted, ruched dress with a sweetheart neckline and long mesh sleeves.jpg","Una donna indossa un abito aderente color cachi. L'ambiente intorno è sereno, la modella è ritratta semi-seduta su un mobile in vimini con sfondo verde e floreale.","Cachi","Abito da donna","Probabile misto cotone o sintetico","Maniche lunghe, Scollatura a cuore, Effetto drappeggiato sul tessuto, Lunghezza mini"
"fitted, short, yellow dress with short sleeves.jpeg","Una donna in posa su sfondo giallo, indossa un abito corto color senape con maniche a tre quarti.","Giallo senape","Abito da donna","Tessuto sintetico, potrebbe trattarsi di poliestere o una miscela","Maniche a tre quarti, Colletto sottile, Taglio aderente"
"floral dress with long sleeves.jpeg","Una modella indossa un abito corto a maniche lunghe e scollatura quadrata. Lo sfondo è di colore rosa.","Nero, Rosa, Verde, Bianco","Abito da donna","Cotone, Poliestere","Stampa floreale, Scollatura quadrata, Maniche a sbuffo, Orlo svasato"
"flowing green off-shoulder dress.jpg","Una donna indossa un abito estivo a balze, color verde salvia, con spalle scoperte e dettagli a smock. Completa il look con un cappello bianco ampio e stivali texani marrone chiaro. L'ambientazione è all'aperto, probabilmente in un giardino o in un cortile, con piante e vegetazione luminosa attorno.","Verde salvia, Bianco, Marrone chiaro","Abito estivo","Cotone, Lino","Balze multiple, Spalle scoperte, Dettagli smock, Fascia elastica sul corpetto, Lunghezza asimmetrica"
"fluffy, possibly faux fur or eyelash knit sweater with a cropped cut top.jpg","Una donna cammina elegantemente in uno spazio urbano esterno. Indossa un maglione a pelo lungo di colore bianco, una gonna lunga scintillante con paillettes dorate, sandali bianchi con tacchi, e porta una borsa elegante bianca.","bianco, oro","abbigliamento femminile","pelo sintetico, paillettes, pelle sintetica","pelo lungo su maglione, gonna a paillettes, borsetta strutturata, sandali con cinturino"
"form-fitting dress with a vibrant pattern of yellow, blue, and black.jpg","Una donna posa all'esterno vicino a una porta di acciaio. Indossa un abito stretto, a maniche lunghe con scollatura a V e cut-out sulla zona del torace e delle maniche.","Arancione, Blu, Nero","Abito da donna","Probabilmente tessuto sintetico o misto","Stampa geometrica, Cut-out sul torace e sulle maniche, Scollatura a V, Maniche lunghe"
"glamorous two-piece outfit featuring a sequined design.jpeg","Una donna posa su un balcone con balaustra, indossando un elegante abito da cocktail scintillante. Lo sfondo mostra una lussureggiante foresta verde.","bronzo, marrone chiaro, oro","Abito da cocktail","tessuto sintetico, paillettes","taglio monospalla, crop top, gonna aderente, inserti trasparenti in vita"
"green dress with a floral pattern, paired with matching green trousers.jpg","Una donna in piedi in un ambiente elegante, probabilmente un salotto o una hall di un hotel, con arredamento moderno e sofisticato. Indossa un abito lungo fino al ginocchio con pattern floreale verde su sfondo bianco, abbinato a pantaloni lunghi verde scuro e sandali color oro.","verde, bianco, oro, verde scuro","Abito Tradizionale / Etnico","cotone, seta","pattern floreale, maniche lunghe, scollatura rotonda, abito sopra il ginocchio, pantaloni lunghi"
"high-waisted white trousers paired with a structured, corset-style bodice featuring mesh.jpg","Una donna veste eleganti abiti bianchi e un corsetto in stile contemporaneo. Lei sta in piedi in un luogo all'aperto, presumibilmente durante un evento sociale. L'ambientazione urbana aggiunge uno sfondo moderno all'immagine.","Bianco, Nero, Oro","Abbigliamento formale","Poliestere o simil-seta, Mesh di plastica, Metalli (accessori)","Spalle scoperte, Volant a cascata, Panelli a rete, Tasche laterali sui pantaloni"
"l-htdrss7133-honky-tonky-original-imagszfhfghhs2rp.jpeg","Modello femminile seduto su una sedia in legno con schienale di paglia, indossa un abito a maniche lunghe con stampa floreale in un ambiente interno luminoso.","Blu, Bianco","Abito da donna","Probabilmente cotone o una miscela di cotone","Stampa floreale, Maniche a sbuffo, Scollatura quadrata, Vita elasticizzata"
"ladies-party-wear-cotton-short-dress-full.jpg","Una modella posa su uno sfondo bianco, indossando un abito estivo senza maniche con stampa vivace e colorata. L'abito presenta una scollatura a V e una lunghezza midi.","Rosa, Marrone chiaro, Bianco","Abito casual","Cotone, Tessuto sintetico","Stampa floreale e grafica, Orlo smerlato, Scollatura a V, Fascia in vita rosa"
"light blue, sequined dress with a V-neckline, long sleeves.jpg","Una modella posa in uno studio fotografico con uno sfondo neutro indossando un abito corto, a maniche lunghe con scollo a V e un tessuto brillante di colore azzurro.","Azzurro","Abito da donna","Tessuto sintetico luccicante","Scollo a V, Maniche lunghe a campana, Fascia in vita, Tessuto brillante, Taglio avvolgente"
"light brown sleeveless double-breasted blazer paired with matching straight-leg trousers.jpg","Modello in piedi su sfondo nero, indossa un completo elegante senza maniche composto da gilet lungo e pantaloni dritti. Posizione eretta con mani sui fianchi, sguardo diretto verso la telecamera.","Beige","Abbigliamento formale","Lana, Seta","Senza maniche, Colletto a lancia, Doppio petto con bottoni dorati, Taglio sartoriale, Pantaloni a palazzo"
"light green, short dress with lace detailing around the waist and the edges of the sleeves and hem.jpg","Una donna indossa un abito corto di colore verde acqua in un ambiente esterno, probabilmente un giardino o cortile, con un tavolo da pranzo coperto da una tovaglia a pattern geometrico blu e bianco. Sul tavolo ci sono alcuni piatti con frutta.","verde acqua, blu, bianco","Abito da donna","Cotone, Pizzo","Maniche corte, Scollatura a V, Orlo con pizzo, Cintura in vita"
"light peach, knee-length dress with off-the-shoulder sleeves.webp","Una donna elegante posa in un ambiente interno strutturato con un pannello artistico colorato sullo sfondo. Indossa un abito lungo fino al ginocchio di colore rosa pallido con dettagli raffinati.","Rosa pallido, Oro","Abito da cerimonia","Seta, Tessuto sintetico","Maniche a sbuffo, Cintura in vita, Scollatura profonda, Lunghezza midi"
"long, elegant blue dress with an off-the-shoulder design with sheer sleeves.jpg","Una donna in un ambiente elegante interni posa indossando un lungo abito da sera. Lo sfondo include uno specchio grande e piante verdi.","blu, verde, grigio","Abito da sera","tulle, seta","corpetto con scollo a cuore, maniche lunghe trasparenti, gonna ampia a più strati"
"long, elegant, teal dress with a high slit on one side.jpg","Una donna in piedi in un giardino ben curato, indossa un lungo abito da sera blu con una spacco profondo. L'abito lascia scoperte le spalle ed è fluente, conferendo un'aria elegante e sofisticata. È volta di spalle e guarda verso un cespuglio fiorito di rose e altre piante ornamentali.","Blu, Verde, Rosa, Marrone","Abito da sera","Seta, Satin","Spacco alto, Senza spalle, Tessuto lucido, Fluido"
"long, flowing dress with a full skirt.jpg","Una donna in piedi in un abito lungo e fluttuante con stampa floreale e ornamenti etnici. L'ambiente sembra essere un interno in legno, che aggiunge un tono rustico allo sfondo.","Blu navy, Rosso, Bianco, Grigio","Abito tradizionale","Cotone, Seta","Stampa floreale, Orlo ornamentale, Maniche lunghe, Girovita aderente"
"long, flowing, pink dress with a sparkly texture.jpg","Una donna indossa un elegante abito da sera lungo fino al suolo con una profonda scollatura e una spaccatura alta sulla gamba sinistra. L'ambientazione è esterna, probabilmente lungo un marciapiede vicino a delle piante.","Rosa cipria, Oro","Abito da sera","Seta, Paillettes","Scollatura profonda, Spacco alto, Decorazioni con paillettes, Strascico"
"long, intricately designed dress with full sleeves.jpg","Una donna indossa un abito lungo e ricamato con maniche lunghe e scollatura a cuore. Comprende una stola nera che fluisce elegantemente dietro. Lo sfondo mostra un ambiente interno con pareti decorate e un tavolo con un vaso di fiori.","nero, grigio, oro","abito formale","tessuto sintetico, tulle","ricami dorati, maniche lunghe in tulle, scollatura a cuore, stola lunga"
"metallic-looking jacket with intricate designs and fringes hanging from the sleeves.jpg","Modello di moda femminile indossa una giacca elaborata su sfondo naturale sfocato. La giacca ha uno stile distintivo con ornamenti dorati e frange lunghe.","Oro, Nero","Giacca","Tessuto sintetico, Metallo","Ornamenti metallici, Frange, Colletto strutturato, Ricami dorati"
"mustard yellow fitted dress with white off-the-shoulder sleeves.webp","Una donna in un ambiente elegante indossa un vestito da sera. Lo sfondo mostra un'ambientazione interna lussuosa con mobili classici e finiture in legno.","Giallo senape, Bianco, Argento","Abito da sera","Tessuto sintetico, Paillettes","Collo alto con inserto a contrasto bianco, Spalle scoperte, Silhouette aderente, Lunghezza midi"
"off-the-shoulder black ball gown.jpg","Una donna con un abito elegante nero posa davanti a uno sfondo rosa acceso.","nero, rosa","Abito elegante","seta, tessuto sintetico","scollatura a cuore, gonna ampia, maniche scese"
"one-shoulder, black, sequined dress with fringe detailing at the hem.jpg","Una donna posa in uno spazio interno opulento, davanti a un tavolo da trucco con uno specchio decorativo. Indossa un elegante abito nero con una spalla scoperta, ricamato con paillettes nere che brillano e rifinisce sotto le ginocchia con frange.","Nero, Oro, Bianco","Abito da sera","Paillettes, Tessuto sintetico","Una spalla scoperta, Frange alla base, Paillettes su tutto il vestito"
"one-shoulder, fitted dress that features sequin embellishments and sheer panels.jpg","La foto mostra una parte di una modella indossando un mini abito monospalla scintillante, con un design asimmetrico e tessuti stratificati.","beige, oro","Abito da cocktail","paillettes, tessuto sintetico","monospalla, taglio asimmetrico, stratificazione del tessuto, finitura scintillante"
"pink, knee-length dress that sparkles.jpg","Una donna indossa un elegante abito lungo di colore rosa pallido con paillettes scintillanti. Tiene una piccola borsa a mano nera.","rosa pallido, nero","abito da sera","tessuto scintillante, paillettes","spalline sottili, vestibilità aderente, lunghezza fino al ginocchio, dettagli scintillanti"
"red dress adorned with an intricate white pattern.jpg","Una modella posa con un abito floreale in un ambiente con sfondo neutro color beige. Lei tiene le braccia alzate sopra la testa, con le mani incrociate e gli occhi chiusi, esprimendo un senso di pace e serenità.","Rosso, Bianco, Beige","Abito","Cotone, Lino","Stampa floreale, Maniche a tre quarti, Girovita elastico, Scollatura a V"
"red dress with a pattern of small white flowers.jpg","Una donna cammina elegantemente lungo un marciapiede in una zona urbana moderna, indossando un abito estivo corto a motivi.","rosso, bianco","Abito femminile","tessuto sintetico, cotone","stampa leopardata, orlo con volant, maniche corte, scollo a V"
"red velvet sheath midi dress.jpg","Una modella indossa un elegante abito lungo fino al ginocchio di colore rosso scuro, con una spacco laterale. Lo sfondo è neutro di colore grigio.","Rosso scuro, Grigio","Abito da sera","Velluto","Spalline sottili, Spacco laterale, Vestibilità aderente"
"royal blue off-shoulder dress.jpg","Una donna in abbigliamento elegante posa davanti a una vetrina in una zona urbana. Indossa un abito blu scuro senza spalle, cintura coordinata, cappello a tesa larga bianco, scarpe col tacco rosse, e porta una borsa bianca a tracolla.","blu scuro, bianco, rosso","Abbigliamento femminile","tessuto sintetico, pelle, feltro","abito senza spalle, cintura con fibbia, cappello a tesa larga, scarpe col tacco"
"salwar kameez in a vibrant red color with detailed embroidery.jpg","Una donna in piedi in un giardino, indossa un abito tradizionale sudasiatico in un vivace colore rosso. L'abito è arricchito da ricami dorati e dettagli decorativi.","Rosso, Dorato","Abito tradizionale","Cotone, Filati metallici","Ricamo, Motivi floreali, Orlo dettagliato, Maniche lunghe"
"shiny purple sequined dress with a one-shoulder design.jpg","Una donna indossa un abito brillante a paillettes con una spalla scoperta e gonna avvolgente. Lo sfondo è neutro e luminoso, mettendo in risalto l'abbigliamento.","Viola","Abito da sera","Paillettes, Tessuto sintetico","A paillettes, Una spalla, Gonna avvolgente, Taglio asimmetrico"
"shiny, silver, wrap-style dress with long sleeves.jpg","Una donna posa davanti a un albero di Natale decorato, in un interno elegante con pacchetti regalo. Indossa un abito cocktail argentato, adatto per occasioni festive.","argento, bianco, verde, rosso, oro","Abito da cocktail","seta, fibra sintetica","taglio asimmetrico, scollatura a V, maniche lunghe, drappeggio sul davanti"
"short, blue floral dress with long puffed sleeves.jpg","Una donna cammina su un marciapiede vicino a un edificio storico. E' vestita con un miniabito a maniche lunghe con una stampa floreale vivace.","Blu, Verde, Bianco","Abito","Probabilmente cotone o una miscela sintetica","Stampa floreale, Maniche a sbuffo, Scollatura quadrata, Lunghezza mini"
"short, white, sleeveless dress with thin straps.jpg","Una modella indossa un mini abito bianco in una posizione semi-laterale con uno sguardo verso lo spettatore. È presente anche una piccola borsa con dettagli metallici.","bianco, argento","abito","seta, metallo","spalline sottili, taglio aderente, scollatura bassa sul retro, dettagli metallici sulla borsa"
"sleeveless dress adorned with pink sequins.jpg","Modello femminile che indossa un abito con paillettes rosa e argento con uno sfondo neutro.","Rosa, Argento","Abito da cocktail","Paillettes, Tessuto sintetico","Paillettes su tutta la superficie, Taglio senza maniche, Scollatura rotonda"
"sleeveless dress with a high neckline.jpeg","Modella con un abito senza maniche, taglio aderente e lunghezza media. Il vestito presenta un design dettagliato con motivo floreale e un tessuto trasparente sovrapposto su una base più scura.","Grigio, Nero, Blu","Abito da donna","Pizzo, Tessuto trasparente","Motivo floreale, Senza maniche, Collo alto"
"Sleeveless-Ruched-Tight-Fashion-Sexy-Bodycon-Party-Women-Club-Dresses.webp","Una donna indossa un elegante abito bianco corto, con scollo a barca e maniche corte. L'abito presenta un design aderente e drappeggiato che enfatizza la figura. La scena è ambientata su un balcone con arredo in legno e piante verdi.","Bianco, Marrone chiaro, Verde","Abito da donna","Tessuto sintetico","Scollo a barca, Maniche corte, Design aderente, Drappeggiato"
"solid dark blue top and a floral pattern on the bottom.jpg","Una donna indossa un elegante abito blu con una parte inferiore a stampa floreale. È in piedi su una scalinata esterna con piante fiorite all'arredamento.","Blu scuro, Rosa, Arancione, Verde, Bianco","Abito da donna","Tessuto sintetico, Cotone","Colletto a revers, Cintura in vita, Gonna a-line a stampa floreale, Maniche lunghe"
"sophisticated black dress with an asymmetrical design with one sleeve and a strapless neckline on the opposite side.jpg","Una modella in posa contro uno sfondo in tessuto dorato, indossando un elegante abito nero monospalla con dettagli a ruches sulle spalle.","Nero, Dorado, Bianco Argento","Abito da sera","Tessuto sintetico, Metallo","Taglio monospalla, Ruches sulla spalla, Tessuto liscio e aderente, Orecchini cerchio con pendenti"
"sparkling white dress with long sleeves.jpg","Una donna in piedi di fronte a un banco bar, indossa un mini abito aderente con maniche lunghe. L'ambiente ha un'atmosfera rustica e casual.","bianco, argento","Abito da donna","paillettes, tessuto sintetico","maniche lunghe, mini lunghezza, completamente decorato con paillettes"
"sparkling, fitted dress 2.jpeg","Una modella posa con uno sfondo neutro color nocciola, tenendo un bicchiere di champagne. Indossa un abito mini aderente con paillettes, maniche lunghe e scollatura a V.","argento, nero, grigio","Abito da sera","paillettes, tessuto sintetico","paillettes luccicanti, scollatura a V, maniche lunghe, taglio aderente"
"sparkling, fitted dress with long sleeves.jpg","Modello di sesso femminile in posa contro uno sfondo monocromatico beige. Indossa un abito corto e scintillante con maniche lunghe e una scollatura a V.","argento, nero, beige","Abito da sera","paillettes, tessuto sintetico","maniche lunghe, scollatura a V, stoffa drappeggiata, taglio asimmetrico"
